,assortativity,ami,ami_resolution,ari,ari_resolution,sparsity,num_genes_kept,num_cells,num_em_iterations,num_categories,dataset_name,truth_class_name,source_url,paper_url,reported_cell_count,reported_truth_class
EM,0.6161616161616164,0.7063491395985285,0.5800000000000001,0.8122644869076898,0.5800000000000001,0.8494708994708995,63,60,20,2,E-MTAB-4850,Sample Characteristic[cell line],https://www.ebi.ac.uk/gxa/sc/experiments/E-MTAB-4850/results/cell-plots,https://europepmc.org/article/MED/26860370,60,cell line
GmGM,0.8841158841158843,1.0,0.30000000000000004,1.0,0.30000000000000004,0.8494708994708995,63,60,20,2,E-MTAB-4850,Sample Characteristic[cell line],https://www.ebi.ac.uk/gxa/sc/experiments/E-MTAB-4850/results/cell-plots,https://europepmc.org/article/MED/26860370,60,cell line
GmGM+nonpara,0.8841158841158843,1.0,0.30000000000000004,1.0,0.30000000000000004,0.8494708994708995,63,60,20,2,E-MTAB-4850,Sample Characteristic[cell line],https://www.ebi.ac.uk/gxa/sc/experiments/E-MTAB-4850/results/cell-plots,https://europepmc.org/article/MED/26860370,60,cell line
Basic,0.8841158841158843,0.25421220967594643,1.1,0.14180367323594306,0.04,0.8494708994708995,63,60,20,2,E-MTAB-4850,Sample Characteristic[cell line],https://www.ebi.ac.uk/gxa/sc/experiments/E-MTAB-4850/results/cell-plots,https://europepmc.org/article/MED/26860370,60,cell line
EM,0.046149040172684494,0.5381514071017138,1.04,0.41385974033632666,0.8200000000000001,0.9921016483516484,91,96,20,3,E-MTAB-6142,Sample Characteristic[cell cycle phase],https://www.ebi.ac.uk/gxa/sc/experiments/E-MTAB-6142/results/cell-plots,https://europepmc.org/article/MED/29045817,96,cell cycle phase
GmGM,0.037197512110138484,0.3401227296929678,1.84,0.1471487294370247,1.82,0.9921016483516484,91,96,20,3,E-MTAB-6142,Sample Characteristic[cell cycle phase],https://www.ebi.ac.uk/gxa/sc/experiments/E-MTAB-6142/results/cell-plots,https://europepmc.org/article/MED/29045817,96,cell cycle phase
GmGM+nonpara,0.03682719546742203,0.3306534336360043,1.76,0.14480224405270936,0.36000000000000004,0.9921016483516484,91,96,20,3,E-MTAB-6142,Sample Characteristic[cell cycle phase],https://www.ebi.ac.uk/gxa/sc/experiments/E-MTAB-6142/results/cell-plots,https://europepmc.org/article/MED/29045817,96,cell cycle phase
Basic,0.03682719546742203,0.3444242807445239,1.3800000000000001,0.17558773004011233,1.12,0.9921016483516484,91,96,20,3,E-MTAB-6142,Sample Characteristic[cell cycle phase],https://www.ebi.ac.uk/gxa/sc/experiments/E-MTAB-6142/results/cell-plots,https://europepmc.org/article/MED/29045817,96,cell cycle phase
EM,0.0014892055953138021,0.7168429990084676,0.8,0.6885286814981635,0.8,0.994317014720986,127,115,20,6,E-GEOD-36552,Sample Characteristic[cell type],https://www.ebi.ac.uk/gxa/sc/experiments/E-GEOD-36552/results/cell-plots,https://europepmc.org/article/MED/23934149,115,cell type
GmGM,-0.004645724849862145,0.5635174641815015,0.9400000000000001,0.5364151537412111,0.88,0.994317014720986,127,115,20,6,E-GEOD-36552,Sample Characteristic[cell type],https://www.ebi.ac.uk/gxa/sc/experiments/E-GEOD-36552/results/cell-plots,https://europepmc.org/article/MED/23934149,115,cell type
GmGM+nonpara,-0.004645724849862145,0.5635174641815015,0.9400000000000001,0.5364151537412111,0.88,0.994317014720986,127,115,20,6,E-GEOD-36552,Sample Characteristic[cell type],https://www.ebi.ac.uk/gxa/sc/experiments/E-GEOD-36552/results/cell-plots,https://europepmc.org/article/MED/23934149,115,cell type
Basic,-0.004645724849862145,0.37627203769452405,1.8800000000000001,0.2993051843933725,0.74,0.994317014720986,127,115,20,6,E-GEOD-36552,Sample Characteristic[cell type],https://www.ebi.ac.uk/gxa/sc/experiments/E-GEOD-36552/results/cell-plots,https://europepmc.org/article/MED/23934149,115,cell type
EM,0.7308327081770442,0.8763971010595484,0.52,0.9012371321189613,0.52,0.9896512385919165,104,118,20,3,E-CURD-10,Sample Characteristic[growth condition],https://www.ebi.ac.uk/gxa/sc/experiments/E-CURD-10/results/cell-plots,https://europepmc.org/article/MED/27139883,118,growth condition
GmGM,0.11670028756598998,0.16998572457333191,1.82,0.1392416934191404,0.24,0.9896512385919165,104,118,20,3,E-CURD-10,Sample Characteristic[growth condition],https://www.ebi.ac.uk/gxa/sc/experiments/E-CURD-10/results/cell-plots,https://europepmc.org/article/MED/27139883,118,growth condition
GmGM+nonpara,0.03219848262543962,0.22596331719142698,0.24,0.1741044763345855,0.24,0.9896512385919165,104,118,20,3,E-CURD-10,Sample Characteristic[growth condition],https://www.ebi.ac.uk/gxa/sc/experiments/E-CURD-10/results/cell-plots,https://europepmc.org/article/MED/27139883,118,growth condition
Basic,0.011805095562272926,0.24417236231882103,1.58,0.19172131621711166,0.36000000000000004,0.9896512385919165,104,118,20,3,E-CURD-10,Sample Characteristic[growth condition],https://www.ebi.ac.uk/gxa/sc/experiments/E-CURD-10/results/cell-plots,https://europepmc.org/article/MED/27139883,118,growth condition
EM,0.20597245004201964,0.4596237736075009,0.9,0.4359990851566669,0.9,0.99755859375,128,144,20,2,E-GEOD-99795,Factor Value[compound],https://www.ebi.ac.uk/gxa/sc/experiments/E-GEOD-99795/results/cell-plots,https://europepmc.org/article/MED/29233929,144,dose
GmGM,0.022556390977443497,0.07461810591121382,0.02,0.050004476936641305,0.98,0.99755859375,128,144,20,2,E-GEOD-99795,Factor Value[compound],https://www.ebi.ac.uk/gxa/sc/experiments/E-GEOD-99795/results/cell-plots,https://europepmc.org/article/MED/29233929,144,dose
GmGM+nonpara,0.06816205877238743,0.1041553344897453,0.8400000000000001,0.08752496361163493,0.8400000000000001,0.99755859375,128,144,20,2,E-GEOD-99795,Factor Value[compound],https://www.ebi.ac.uk/gxa/sc/experiments/E-GEOD-99795/results/cell-plots,https://europepmc.org/article/MED/29233929,144,dose
Basic,0.04022556390977457,0.29521828453638055,0.02,0.27777928881104047,0.02,0.99755859375,128,144,20,2,E-GEOD-99795,Factor Value[compound],https://www.ebi.ac.uk/gxa/sc/experiments/E-GEOD-99795/results/cell-plots,https://europepmc.org/article/MED/29233929,144,dose
EM,0.6756410256410257,0.5322608130597484,0.88,0.5661484192196127,0.42000000000000004,0.77465483234714,169,168,20,2,E-GEOD-110499,Sample Characteristic[organism part],https://www.ebi.ac.uk/gxa/sc/experiments/E-GEOD-110499/results/cell-plots,https://europepmc.org/article/MED/29898899,168,organism part
GmGM,0.23325446683527779,0.40509726580259203,1.04,0.33773148088872085,1.04,0.77465483234714,169,168,20,2,E-GEOD-110499,Sample Characteristic[organism part],https://www.ebi.ac.uk/gxa/sc/experiments/E-GEOD-110499/results/cell-plots,https://europepmc.org/article/MED/29898899,168,organism part
GmGM+nonpara,0.23325446683527779,0.40509726580259203,1.04,0.33773148088872085,1.04,0.77465483234714,169,168,20,2,E-GEOD-110499,Sample Characteristic[organism part],https://www.ebi.ac.uk/gxa/sc/experiments/E-GEOD-110499/results/cell-plots,https://europepmc.org/article/MED/29898899,168,organism part
Basic,0.21604737659336293,0.12743074141458022,1.8,0.07786586556627953,0.68,0.77465483234714,169,168,20,2,E-GEOD-110499,Sample Characteristic[organism part],https://www.ebi.ac.uk/gxa/sc/experiments/E-GEOD-110499/results/cell-plots,https://europepmc.org/article/MED/29898899,168,organism part
EM,0.27437234574069447,0.5773351756788453,0.76,0.48702459430206113,0.76,0.7074653031409788,185,185,20,7,E-MTAB-7249,Sample Characteristic[inferred cell type - authors labels],https://www.ebi.ac.uk/gxa/sc/experiments/E-MTAB-7249/results/cell-plots,https://europepmc.org/article/MED/32054838,192,inferred cell type - authors labels
GmGM,0.2452645779148915,0.6238254010235155,1.02,0.5342788211075762,1.02,0.7074653031409788,185,185,20,7,E-MTAB-7249,Sample Characteristic[inferred cell type - authors labels],https://www.ebi.ac.uk/gxa/sc/experiments/E-MTAB-7249/results/cell-plots,https://europepmc.org/article/MED/32054838,192,inferred cell type - authors labels
GmGM+nonpara,0.2452645779148915,0.6238254010235155,1.02,0.5342788211075762,1.02,0.7074653031409788,185,185,20,7,E-MTAB-7249,Sample Characteristic[inferred cell type - authors labels],https://www.ebi.ac.uk/gxa/sc/experiments/E-MTAB-7249/results/cell-plots,https://europepmc.org/article/MED/32054838,192,inferred cell type - authors labels
Basic,0.11084253511325975,0.3572430934832753,1.8,0.15780042640739633,1.28,0.7074653031409788,185,185,20,7,E-MTAB-7249,Sample Characteristic[inferred cell type - authors labels],https://www.ebi.ac.uk/gxa/sc/experiments/E-MTAB-7249/results/cell-plots,https://europepmc.org/article/MED/32054838,192,inferred cell type - authors labels
EM,0.19957386363636387,0.287710212143271,1.22,0.15004806794525097,1.22,0.28012822023711315,203,209,18,2,E-MTAB-7606,Sample Characteristic[phenotype],https://www.ebi.ac.uk/gxa/sc/experiments/E-MTAB-7606/results/cell-plots,https://europepmc.org/article/MED/30778243,209,phenotype
GmGM,0.07853642074447544,0.22021962619216884,0.38,0.22865662738033196,0.06,0.28012822023711315,203,209,18,2,E-MTAB-7606,Sample Characteristic[phenotype],https://www.ebi.ac.uk/gxa/sc/experiments/E-MTAB-7606/results/cell-plots,https://europepmc.org/article/MED/30778243,209,phenotype
GmGM+nonpara,0.04219304764263813,0.19813221299923006,0.54,0.24628733304021008,0.54,0.28012822023711315,203,209,18,2,E-MTAB-7606,Sample Characteristic[phenotype],https://www.ebi.ac.uk/gxa/sc/experiments/E-MTAB-7606/results/cell-plots,https://europepmc.org/article/MED/30778243,209,phenotype
Basic,0.04219304764263813,0.060316537482210233,1.36,0.0433913384629033,0.64,0.28012822023711315,203,209,18,2,E-MTAB-7606,Sample Characteristic[phenotype],https://www.ebi.ac.uk/gxa/sc/experiments/E-MTAB-7606/results/cell-plots,https://europepmc.org/article/MED/30778243,209,phenotype
EM,0.2730979504547611,0.2956564501608863,1.24,0.23056530739686898,1.06,0.8876660063100741,231,236,20,3,E-MTAB-6075,Factor Value[compound],https://www.ebi.ac.uk/gxa/sc/experiments/E-MTAB-6075/results/cell-plots,https://europepmc.org/article/MED/31088978,236,compound
GmGM,0.010169275713073791,0.2509422553816453,1.8,0.13082388063230896,1.1600000000000001,0.8876660063100741,231,236,20,3,E-MTAB-6075,Factor Value[compound],https://www.ebi.ac.uk/gxa/sc/experiments/E-MTAB-6075/results/cell-plots,https://europepmc.org/article/MED/31088978,236,compound
GmGM+nonpara,0.022448589815806875,0.25967949286615916,2.0,0.1442312653287087,1.4000000000000001,0.8876660063100741,231,236,20,3,E-MTAB-6075,Factor Value[compound],https://www.ebi.ac.uk/gxa/sc/experiments/E-MTAB-6075/results/cell-plots,https://europepmc.org/article/MED/31088978,236,compound
Basic,-0.012458900744510634,0.14402852794016807,2.0,0.052296409535625275,1.3800000000000001,0.8876660063100741,231,236,20,3,E-MTAB-6075,Factor Value[compound],https://www.ebi.ac.uk/gxa/sc/experiments/E-MTAB-6075/results/cell-plots,https://europepmc.org/article/MED/31088978,236,compound
EM,0.39524097322294793,0.4885134734127049,1.1,0.4134081006272411,1.1,0.9023941387871317,239,241,20,5,E-GEOD-124858,Factor Value[passage],https://www.ebi.ac.uk/gxa/sc/experiments/E-GEOD-124858/results/cell-plots,https://europepmc.org/article/MED/30635013,241,passage
GmGM,-0.008676193750724277,0.5447200422406951,1.94,0.37336310275479395,1.8,0.9023941387871317,239,241,20,5,E-GEOD-124858,Factor Value[passage],https://www.ebi.ac.uk/gxa/sc/experiments/E-GEOD-124858/results/cell-plots,https://europepmc.org/article/MED/30635013,241,passage
GmGM+nonpara,0.10509693630558566,0.5889757097885308,2.0,0.43082486520060725,1.98,0.9023941387871317,239,241,20,5,E-GEOD-124858,Factor Value[passage],https://www.ebi.ac.uk/gxa/sc/experiments/E-GEOD-124858/results/cell-plots,https://europepmc.org/article/MED/30635013,241,passage
Basic,0.10509693630558566,0.19876038774008142,1.9000000000000001,0.09202503969395963,1.34,0.9023941387871317,239,241,20,5,E-GEOD-124858,Factor Value[passage],https://www.ebi.ac.uk/gxa/sc/experiments/E-GEOD-124858/results/cell-plots,https://europepmc.org/article/MED/30635013,241,passage
EM,0.17626262419601774,0.29929961992273857,0.76,0.3780278475474056,0.13999999999999999,0.5267457561728395,324,320,20,2,E-GEOD-111727,Sample Characteristic[disease],https://www.ebi.ac.uk/gxa/sc/experiments/E-GEOD-111727/results/cell-plots,https://europepmc.org/article/MED/29694901,320,disease
GmGM,0.12857918853443756,0.32537253485060996,1.1400000000000001,0.2535360011822009,1.08,0.5267457561728395,324,320,20,2,E-GEOD-111727,Sample Characteristic[disease],https://www.ebi.ac.uk/gxa/sc/experiments/E-GEOD-111727/results/cell-plots,https://europepmc.org/article/MED/29694901,320,disease
GmGM+nonpara,0.12835496037731473,0.3007167551461147,1.1600000000000001,0.28571427041710434,1.04,0.5267457561728395,324,320,20,2,E-GEOD-111727,Sample Characteristic[disease],https://www.ebi.ac.uk/gxa/sc/experiments/E-GEOD-111727/results/cell-plots,https://europepmc.org/article/MED/29694901,320,disease
Basic,0.03467686052736153,0.08944001013679546,0.02,0.048224747819753416,0.62,0.5267457561728395,324,320,20,2,E-GEOD-111727,Sample Characteristic[disease],https://www.ebi.ac.uk/gxa/sc/experiments/E-GEOD-111727/results/cell-plots,https://europepmc.org/article/MED/29694901,320,disease
EM,0.25085275317453487,0.20474824848008422,1.08,0.1625775781540334,1.08,0.5457492545593232,418,414,20,3,E-GEOD-100618,Sample Characteristic[cell type],https://www.ebi.ac.uk/gxa/sc/experiments/E-GEOD-100618/results/cell-plots,https://europepmc.org/article/MED/29167569,414,cell type
GmGM,-0.05097129558334304,0.3978052369559034,0.02,0.3382165183485841,0.02,0.5457492545593232,418,414,20,3,E-GEOD-100618,Sample Characteristic[cell type],https://www.ebi.ac.uk/gxa/sc/experiments/E-GEOD-100618/results/cell-plots,https://europepmc.org/article/MED/29167569,414,cell type
GmGM+nonpara,-0.05090102333143652,0.3978052369559034,0.02,0.3382165183485841,0.02,0.5457492545593232,418,414,20,3,E-GEOD-100618,Sample Characteristic[cell type],https://www.ebi.ac.uk/gxa/sc/experiments/E-GEOD-100618/results/cell-plots,https://europepmc.org/article/MED/29167569,414,cell type
Basic,-0.05090102333143652,0.08401687761839682,1.94,0.07174300806502716,0.30000000000000004,0.5457492545593232,418,414,20,3,E-GEOD-100618,Sample Characteristic[cell type],https://www.ebi.ac.uk/gxa/sc/experiments/E-GEOD-100618/results/cell-plots,https://europepmc.org/article/MED/29167569,414,cell type
EM,0.5989142940118625,0.5011946568514016,1.76,0.4790104865604549,0.13999999999999999,0.4401568426042984,452,448,20,3,E-MTAB-8498,Sample Characteristic[cell type],https://www.ebi.ac.uk/gxa/sc/experiments/E-MTAB-8498/results/cell-plots,https://europepmc.org/article/MED/31845972,448,inferred cell type - authors labels
GmGM,0.7477978313519129,0.5887483169968728,1.1400000000000001,0.6394903437217682,0.12000000000000001,0.4401568426042984,452,448,20,3,E-MTAB-8498,Sample Characteristic[cell type],https://www.ebi.ac.uk/gxa/sc/experiments/E-MTAB-8498/results/cell-plots,https://europepmc.org/article/MED/31845972,448,inferred cell type - authors labels
GmGM+nonpara,0.7477978313519129,0.5887483169968728,1.1400000000000001,0.6394903437217682,0.12000000000000001,0.4401568426042984,452,448,20,3,E-MTAB-8498,Sample Characteristic[cell type],https://www.ebi.ac.uk/gxa/sc/experiments/E-MTAB-8498/results/cell-plots,https://europepmc.org/article/MED/31845972,448,inferred cell type - authors labels
Basic,0.7477978313519129,0.0562470970118216,1.9200000000000002,0.04174889650885153,0.38,0.4401568426042984,452,448,20,3,E-MTAB-8498,Sample Characteristic[cell type],https://www.ebi.ac.uk/gxa/sc/experiments/E-MTAB-8498/results/cell-plots,https://europepmc.org/article/MED/31845972,448,inferred cell type - authors labels
EM,-0.11936816407369627,0.44817726047982737,0.02,0.4794439752290633,0.02,0.30582223981788487,501,484,20,12,E-MTAB-9801,Sample Characteristic[inferred cell type - authors labels],https://www.ebi.ac.uk/gxa/sc/experiments/E-MTAB-9801/results/cell-plots,https://europepmc.org/article/MED/34588693,486,inferred cell type - authors labels
GmGM,0.7617489000421058,0.7704058755547604,1.1600000000000001,0.6014169353595553,1.1600000000000001,0.30582223981788487,501,484,20,12,E-MTAB-9801,Sample Characteristic[inferred cell type - authors labels],https://www.ebi.ac.uk/gxa/sc/experiments/E-MTAB-9801/results/cell-plots,https://europepmc.org/article/MED/34588693,486,inferred cell type - authors labels
GmGM+nonpara,0.7617489000421058,0.7704058755547604,1.1600000000000001,0.6014169353595553,1.1600000000000001,0.30582223981788487,501,484,20,12,E-MTAB-9801,Sample Characteristic[inferred cell type - authors labels],https://www.ebi.ac.uk/gxa/sc/experiments/E-MTAB-9801/results/cell-plots,https://europepmc.org/article/MED/34588693,486,inferred cell type - authors labels
Basic,0.7617489000421058,0.44345124706449435,0.54,0.4900637353884575,0.54,0.30582223981788487,501,484,20,12,E-MTAB-9801,Sample Characteristic[inferred cell type - authors labels],https://www.ebi.ac.uk/gxa/sc/experiments/E-MTAB-9801/results/cell-plots,https://europepmc.org/article/MED/34588693,486,inferred cell type - authors labels
EM,0.6976453367992488,0.6912815528020745,0.08,0.6406847817238613,0.08,0.6345075137628329,517,520,20,4,E-GEOD-75688,Sample Characteristic[histology],https://www.ebi.ac.uk/gxa/sc/experiments/E-GEOD-75688/results/cell-plots,https://europepmc.org/article/MED/28474673,520,histology
GmGM,0.06313543123859913,0.3853588191562937,2.0,0.16251097254360267,0.44,0.6345075137628329,517,520,20,4,E-GEOD-75688,Sample Characteristic[histology],https://www.ebi.ac.uk/gxa/sc/experiments/E-GEOD-75688/results/cell-plots,https://europepmc.org/article/MED/28474673,520,histology
GmGM+nonpara,0.07201652032153963,0.3354123106469069,1.84,0.18275936989037542,1.52,0.6345075137628329,517,520,20,4,E-GEOD-75688,Sample Characteristic[histology],https://www.ebi.ac.uk/gxa/sc/experiments/E-GEOD-75688/results/cell-plots,https://europepmc.org/article/MED/28474673,520,histology
Basic,0.06861967159754377,0.1653379855259061,0.02,0.04321260621686628,0.02,0.6345075137628329,517,520,20,4,E-GEOD-75688,Sample Characteristic[histology],https://www.ebi.ac.uk/gxa/sc/experiments/E-GEOD-75688/results/cell-plots,https://europepmc.org/article/MED/28474673,520,histology
EM,0.7130563171978747,0.6303886107908975,0.34,0.7380266695642222,0.34,0.6512325808394426,538,537,20,2,E-GEOD-86618,Sample Characteristic[disease],https://www.ebi.ac.uk/gxa/sc/experiments/E-GEOD-86618/results/cell-plots,https://europepmc.org/article/MED/27942595,537,disease
GmGM,0.8608461938616266,0.7190077792801407,0.62,0.8164174554782238,0.62,0.6512325808394426,538,537,20,2,E-GEOD-86618,Sample Characteristic[disease],https://www.ebi.ac.uk/gxa/sc/experiments/E-GEOD-86618/results/cell-plots,https://europepmc.org/article/MED/27942595,537,disease
GmGM+nonpara,0.8608461938616266,0.7190077792801407,0.62,0.8164174554782238,0.62,0.6512325808394426,538,537,20,2,E-GEOD-86618,Sample Characteristic[disease],https://www.ebi.ac.uk/gxa/sc/experiments/E-GEOD-86618/results/cell-plots,https://europepmc.org/article/MED/27942595,537,disease
